,algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,train_preprocess_time,train_main_time,execute_preprocess_time,execute_main_time,execute_postprocess_time,status,error_message,repetition,hyper_params,hyper_params_id,ROC_AUC,PR_AUC,band_param,epochs,sigmoid_pow
34,KDEAE,GutenTAG,cbf-diff-count-3.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,20.62840461730957,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 250, 'sigmoid_pow': 1.0}",5014270011609e9cf61a7fd7fcd9c215,0.7130461581266034,0.4596179463853989,0.004,250.0,1.0
35,KDEAE,GutenTAG,cbf-diff-count-3.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,23.385826349258423,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 300, 'sigmoid_pow': 1.0}",ab233335a132d5907b0b55a85a1002a9,0.7660386708157345,0.4099560190501837,0.004,300.0,1.0
36,KDEAE,GutenTAG,cbf-diff-count-4.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,7.521392583847046,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 50, 'sigmoid_pow': 1.0}",e68c360c4c261c5b4d2ef451fa562bd6,0.6473310088823077,0.2277677717514781,0.004,50.0,1.0
37,KDEAE,GutenTAG,cbf-diff-count-4.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,10.723527908325195,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 100, 'sigmoid_pow': 1.0}",51fb74a4c0dc93f19fef6919e9fd845d,0.5848991521885155,0.2599232167115482,0.004,100.0,1.0
38,KDEAE,GutenTAG,cbf-diff-count-4.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,14.066730260849,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 150, 'sigmoid_pow': 1.0}",42d9595edf3ffec4c2e573e4a8337eae,0.5339893587687056,0.2572999563126075,0.004,150.0,1.0
39,KDEAE,GutenTAG,cbf-diff-count-4.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,17.16070318222046,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 200, 'sigmoid_pow': 1.0}",fd84d17c8bc0f5bcbadcc21bc5d9cb1e,0.6270088466838551,0.336784492660801,0.004,200.0,1.0
40,KDEAE,GutenTAG,cbf-diff-count-4.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,20.32457184791565,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 250, 'sigmoid_pow': 1.0}",5014270011609e9cf61a7fd7fcd9c215,0.5962675879521778,0.2632565131412995,0.004,250.0,1.0
41,KDEAE,GutenTAG,cbf-diff-count-4.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,23.555954217910767,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 300, 'sigmoid_pow': 1.0}",ab233335a132d5907b0b55a85a1002a9,0.5380191265394008,0.2558527404522194,0.004,300.0,1.0
42,KDEAE,GutenTAG,cbf-diff-count-5.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,7.727499008178711,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 50, 'sigmoid_pow': 1.0}",e68c360c4c261c5b4d2ef451fa562bd6,0.5135334650144096,0.2744575197812371,0.004,50.0,1.0
43,KDEAE,GutenTAG,cbf-diff-count-5.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,10.690426349639893,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 100, 'sigmoid_pow': 1.0}",51fb74a4c0dc93f19fef6919e9fd845d,0.4789784835754139,0.2439022311712632,0.004,100.0,1.0
