,algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,train_preprocess_time,train_main_time,execute_preprocess_time,execute_main_time,execute_postprocess_time,status,error_message,repetition,hyper_params,hyper_params_id,ROC_AUC,PR_AUC,band_param,epochs,sigmoid_pow
37,KDEAE,GutenTAG,cbf-diff-count-5.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,16.965441703796387,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 200, 'sigmoid_pow': 1.0}",fd84d17c8bc0f5bcbadcc21bc5d9cb1e,0.5129747773497811,0.2472727136356238,0.004,200.0,1.0
38,KDEAE,GutenTAG,cbf-diff-count-5.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,17.017908811569214,,Status.OK,,1,"{'band_param': 0.006, 'epochs': 200, 'sigmoid_pow': 1.0}",989ca0697fea2a13d73964c4951a6aad,0.4749392016364963,0.1604257299906696,0.006,200.0,1.0
39,KDEAE,GutenTAG,cbf-diff-count-5.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,16.810712814331055,,Status.OK,,1,"{'band_param': 0.01, 'epochs': 200, 'sigmoid_pow': 1.0}",70c4595bdfed752ec33301c4dbd1fc4c,0.5224485665719024,0.1256124192518924,0.01,200.0,1.0
40,KDEAE,GutenTAG,cbf-diff-count-6.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,17.375102281570435,,Status.OK,,1,"{'band_param': 0.001, 'epochs': 200, 'sigmoid_pow': 1.0}",cafd8192ffdb0d561ad04a1c63be302b,0.4794045974794279,0.2991375529130093,0.001,200.0,1.0
41,KDEAE,GutenTAG,cbf-diff-count-6.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,17.111053466796875,,Status.OK,,1,"{'band_param': 0.002, 'epochs': 200, 'sigmoid_pow': 1.0}",1434138a3368b058d85ddc9aebdb45c2,0.4147904843014256,0.2501258871886633,0.002,200.0,1.0
42,KDEAE,GutenTAG,cbf-diff-count-6.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,16.850992679595947,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 200, 'sigmoid_pow': 1.0}",fd84d17c8bc0f5bcbadcc21bc5d9cb1e,0.4260657545841048,0.2281323107863164,0.004,200.0,1.0
43,KDEAE,GutenTAG,cbf-diff-count-6.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,17.037628412246704,,Status.OK,,1,"{'band_param': 0.006, 'epochs': 200, 'sigmoid_pow': 1.0}",989ca0697fea2a13d73964c4951a6aad,0.4570473748786246,0.1865163995031218,0.006,200.0,1.0
44,KDEAE,GutenTAG,cbf-diff-count-6.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,16.976933240890503,,Status.OK,,1,"{'band_param': 0.01, 'epochs': 200, 'sigmoid_pow': 1.0}",70c4595bdfed752ec33301c4dbd1fc4c,0.523181450552942,0.2154460293141624,0.01,200.0,1.0
45,KDEAE,GutenTAG,cbf-diff-count-7.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,16.995320081710815,,Status.OK,,1,"{'band_param': 0.001, 'epochs': 200, 'sigmoid_pow': 1.0}",cafd8192ffdb0d561ad04a1c63be302b,0.4268940176487072,0.2835631443326792,0.001,200.0,1.0
46,KDEAE,GutenTAG,cbf-diff-count-7.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,16.955010175704956,,Status.OK,,1,"{'band_param': 0.002, 'epochs': 200, 'sigmoid_pow': 1.0}",1434138a3368b058d85ddc9aebdb45c2,0.33829668926085,0.1429770435085978,0.002,200.0,1.0
47,KDEAE,GutenTAG,cbf-diff-count-7.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,17.647713899612427,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 200, 'sigmoid_pow': 1.0}",fd84d17c8bc0f5bcbadcc21bc5d9cb1e,0.4549538760363043,0.2441881848727914,0.004,200.0,1.0
48,KDEAE,GutenTAG,cbf-diff-count-7.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,17.344852685928345,,Status.OK,,1,"{'band_param': 0.006, 'epochs': 200, 'sigmoid_pow': 1.0}",989ca0697fea2a13d73964c4951a6aad,0.4152266703063784,0.2644190787146699,0.006,200.0,1.0
